ENSG00000167085.14_ENST00000300408.8	ENSG00000167085.14_ENST00000508009.6
ENSG00000077380.16_ENST00000409197.5	ENSG00000077380.16_ENST00000409317.5
ENSG00000082397.18_ENST00000578618.5	ENSG00000082397.18_TALONT000421319
ENSG00000147488.13_ENST00000520716.1	ENSG00000147488.13_TALONT000340430
ENSG00000132485.14_ENST00000254821.10	ENSG00000132485.14_ENST00000370920.8
ENSG00000097033.14_ENST00000370558.8	ENSG00000097033.14_ENST00000482504.1
ENSG00000168297.16_ENST00000356151.7	ENSG00000168297.16_ENST00000383716.7
ENSG00000148123.15_ENST00000374874.8	ENSG00000148123.15_TALONT000349166
ENSG00000007237.19_ENST00000580865.5	ENSG00000007237.19_ENST00000585266.5
ENSG00000155849.16_ENST00000396045.7	ENSG00000155849.16_ENST00000448602.5
ENSG00000138758.12_ENST00000264893.11	ENSG00000138758.12_TALONT000304387
ENSG00000165092.13_ENST00000297785.8	ENSG00000165092.13_TALONT000347262
ENSG00000075415.15_ENST00000546766.5	ENSG00000075415.15_ENST00000552981.6
ENSG00000063245.15_ENST00000270460.11	ENSG00000063245.15_TALONT000431776
ENSG00000204580.14_ENST00000376568.8	ENSG00000204580.14_TALONT000319421
ENSG00000105696.9_ENST00000262817.8	ENSG00000105696.9_ENST00000598660.1
ENSG00000117266.16_ENST00000429964.7	ENSG00000117266.16_TALONT000268327
ENSG00000085733.16_ENST00000301843.13	ENSG00000085733.16_ENST00000346329.7
ENSG00000095564.15_ENST00000265990.12	ENSG00000095564.15_TALONT000358829
ENSG00000004455.18_ENST00000672715.1	ENSG00000004455.18_TALONT000255093
ENSG00000165795.25_ENST00000360463.7	ENSG00000165795.25_ENST00000554143.5
ENSG00000151690.15_ENST00000392328.6	ENSG00000151690.15_TALONT000283778
ENSG00000090097.22_ENST00000322099.11	ENSG00000090097.22_ENST00000355852.6
ENSG00000126790.12_ENST00000481608.1	ENSG00000126790.12_TALONT000391501
ENSG00000174080.12_ENST00000310325.10	ENSG00000174080.12_ENST00000678294.1
ENSG00000189050.16_ENST00000305783.13	ENSG00000189050.16_ENST00000482446.5
ENSG00000103540.17_ENST00000381396.9	ENSG00000103540.17_ENST00000694978.1
ENSG00000089199.10_TALONT000432851	ENSG00000089199.10_TALONT000432858
ENSG00000076554.16_ENST00000518937.6	ENSG00000076554.16_TALONT000341658
ENSG00000115216.14_TALONT000272586	ENSG00000115216.14_TALONT000272588
ENSG00000082805.21_TALONT000373642	ENSG00000082805.21_TALONT000373645
ENSG00000001497.18_ENST00000677834.1	ENSG00000001497.18_TALONT000445994
ENSG00000152377.14_ENST00000515091.1	ENSG00000152377.14_TALONT000314564
ENSG00000147488.13_TALONT000340445	ENSG00000147488.13_TALONT000340475
ENSG00000004455.18_ENST00000373449.7	ENSG00000004455.18_ENST00000672715.1
ENSG00000137817.17_ENST00000566991.5	ENSG00000137817.17_TALONT000400081
ENSG00000143344.16_ENST00000304685.8	ENSG00000143344.16_TALONT000266910
ENSG00000140264.21_ENST00000249786.9	ENSG00000140264.21_ENST00000486144.1
ENSG00000129422.15_ENST00000381861.7	ENSG00000129422.15_ENST00000518889.1
ENSG00000106628.13_ENST00000610533.6	ENSG00000106628.13_ENST00000698985.1
ENSG00000132768.14_ENST00000255108.8	ENSG00000132768.14_TALONT000256625
ENSG00000130684.14_ENST00000252979.6	ENSG00000130684.14_ENST00000376436.5
ENSG00000133083.15_ENST00000379893.5	ENSG00000133083.15_ENST00000615680.4
ENSG00000156313.15_ENST00000645032.1	ENSG00000156313.15_TALONT000444321
ENSG00000242732.4_ENST00000479991.1	ENSG00000242732.4_ENST00000609883.1
ENSG00000120251.21_ENST00000264426.14	ENSG00000120251.21_ENST00000296526.12
ENSG00000106617.15_ENST00000392801.6	ENSG00000106617.15_ENST00000418337.6
ENSG00000140262.18_ENST00000267811.9	ENSG00000140262.18_ENST00000333725.10
ENSG00000076864.21_ENST00000495204.5	ENSG00000076864.21_ENST00000611549.4
ENSG00000104613.12_ENST00000397977.8	ENSG00000104613.12_TALONT000338802
ENSG00000070831.18_ENST00000656825.1	ENSG00000070831.18_ENST00000667384.2
ENSG00000047932.14_ENST00000052569.10	ENSG00000047932.14_ENST00000368498.7
ENSG00000197586.13_ENST00000376652.9	ENSG00000197586.13_TALONT000433756
ENSG00000197619.15_ENST00000598071.6	ENSG00000197619.15_TALONT000431274
ENSG00000148218.16_ENST00000409155.8	ENSG00000148218.16_TALONT000350137
ENSG00000081791.9_ENST00000509110.1	ENSG00000081791.9_TALONT000315403
ENSG00000136141.15_ENST00000311191.10	ENSG00000136141.15_TALONT000385980
ENSG00000182872.16_TALONT000444721	ENSG00000182872.16_TALONT000444726
ENSG00000144029.14_ENST00000272418.7	ENSG00000144029.14_ENST00000482821.5
ENSG00000177311.12_ENST00000321464.7	ENSG00000177311.12_ENST00000507722.5
ENSG00000082805.21_TALONT000373652	ENSG00000082805.21_TALONT000373656
ENSG00000023330.15_ENST00000469224.5	ENSG00000023330.15_ENST00000484952.6
ENSG00000076554.16_ENST00000379096.9	ENSG00000076554.16_ENST00000518937.6
ENSG00000135486.19_ENST00000340913.11	ENSG00000135486.19_ENST00000551665.1
ENSG00000177098.9_ENST00000324727.9	ENSG00000177098.9_ENST00000415030.6
ENSG00000100099.22_ENST00000336873.9	ENSG00000100099.22_ENST00000402105.7
ENSG00000185736.16_ENST00000381310.7	ENSG00000185736.16_ENST00000469464.1
ENSG00000100505.14_ENST00000298355.7	ENSG00000100505.14_ENST00000360392.4
ENSG00000130175.10_ENST00000591462.6	ENSG00000130175.10_ENST00000677123.1
ENSG00000180398.13_ENST00000319466.9	ENSG00000180398.13_ENST00000409913.5
ENSG00000102606.20_TALONT000387792	ENSG00000102606.20_TALONT000387793
ENSG00000154305.18_ENST00000340535.11	ENSG00000154305.18_ENST00000344922.10
ENSG00000137726.17_ENST00000526014.6	ENSG00000137726.17_ENST00000540359.6
ENSG00000159692.17_ENST00000703163.1	ENSG00000159692.17_TALONT000301144
ENSG00000087338.5_ENST00000495047.1	ENSG00000087338.5_TALONT000275567
ENSG00000101365.21_ENST00000491065.1	ENSG00000101365.21_TALONT000432401
ENSG00000151690.15_ENST00000434582.5	ENSG00000151690.15_TALONT000283777
ENSG00000243156.9_ENST00000252134.11	ENSG00000243156.9_TALONT000439347
ENSG00000249115.9_ENST00000585968.5	ENSG00000249115.9_ENST00000587439.5
ENSG00000161267.12_ENST00000392378.6	ENSG00000161267.12_ENST00000477015.5
ENSG00000167615.17_ENST00000326764.10	ENSG00000167615.17_TALONT000431661
ENSG00000150764.14_ENST00000528399.1	ENSG00000150764.14_ENST00000615255.1
ENSG00000166313.20_ENST00000299402.10	ENSG00000166313.20_ENST00000526240.5
ENSG00000106069.24_ENST00000222792.11	ENSG00000106069.24_ENST00000412711.6
ENSG00000050405.14_ENST00000547825.5	ENSG00000050405.14_ENST00000552720.5
ENSG00000010270.14_ENST00000009041.12	ENSG00000010270.14_ENST00000471550.1
ENSG00000133835.18_ENST00000513628.5	ENSG00000133835.18_TALONT000313745
ENSG00000118515.12_ENST00000237305.11	ENSG00000118515.12_ENST00000367858.10
ENSG00000143549.21_ENST00000323144.12	ENSG00000143549.21_ENST00000368533.8
ENSG00000113597.18_ENST00000231526.8	ENSG00000113597.18_ENST00000505553.5
ENSG00000164402.14_ENST00000378719.7	ENSG00000164402.14_ENST00000458488.2
ENSG00000176102.13_ENST00000323959.9	ENSG00000176102.13_ENST00000431742.2
ENSG00000122203.15_ENST00000298569.9	ENSG00000122203.15_ENST00000510164.5
ENSG00000214078.13_TALONT000434444	ENSG00000214078.13_TALONT000434459
ENSG00000006576.17_ENST00000307305.12	ENSG00000006576.17_TALONT000332603
ENSG00000019144.20_TALONT000372353	ENSG00000019144.20_TALONT000372382
ENSG00000134779.15_ENST00000334295.9	ENSG00000134779.15_ENST00000589049.5
ENSG00000177311.12_ENST00000509883.5	ENSG00000177311.12_ENST00000510338.5
ENSG00000204231.11_ENST00000374680.4	ENSG00000204231.11_ENST00000374685.8
ENSG00000041357.16_ENST00000044462.12	ENSG00000041357.16_TALONT000401058
