No	gene
1	ENSG00000109536
2	ENSG00000245685
3	ENSG00000073578
4	ENSG00000249915
5	ENSG00000164366
6	ENSG00000180104
7	ENSG00000225138
8	ENSG00000112877
9	ENSG00000171368
10	ENSG00000206077
11	ENSG00000028310
12	ENSG00000113504
13	ENSG00000049656
14	ENSG00000153395
15	ENSG00000188002
16	ENSG00000185986
17	ENSG00000248994
18	ENSG00000186493
19	ENSG00000289075
20	ENSG00000249808
21	ENSG00000171421
22	ENSG00000250579
23	ENSG00000145536
24	ENSG00000133398
25	ENSG00000215218
26	ENSG00000250056
27	ENSG00000037474
28	ENSG00000112941
29	ENSG00000078295
30	ENSG00000250761
31	ENSG00000124275
32	ENSG00000124279
33	ENSG00000279075
34	ENSG00000247516
35	ENSG00000272417
36	ENSG00000150756
37	ENSG00000271998
38	ENSG00000164237
39	ENSG00000150753
40	ENSG00000145495
41	ENSG00000112977
42	ENSG00000169862
43	ENSG00000039139
44	ENSG00000038382
45	ENSG00000261360
46	ENSG00000145569
47	ENSG00000183580
48	ENSG00000154122
49	ENSG00000173545
50	ENSG00000145555
51	ENSG00000249937
52	ENSG00000145526
53	ENSG00000248766
54	ENSG00000040731
55	ENSG00000082213
56	ENSG00000113360
57	ENSG00000113384
58	ENSG00000133401
59	ENSG00000056097
60	ENSG00000113387
61	ENSG00000242110
62	ENSG00000082196
63	ENSG00000278900
64	ENSG00000039560
65	ENSG00000113460
66	ENSG00000164187
67	ENSG00000145604
68	ENSG00000152620
69	ENSG00000164188
70	ENSG00000079215
71	ENSG00000285967
72	ENSG00000164190
73	ENSG00000113569
74	ENSG00000082068
75	ENSG00000248587
76	ENSG00000113594
77	ENSG00000145623
78	ENSG00000164327
79	ENSG00000153071
80	ENSG00000132356
81	ENSG00000113638
82	ENSG00000182836
83	ENSG00000248668
84	ENSG00000205765
85	ENSG00000083720
86	ENSG00000272864
87	ENSG00000250722
88	ENSG00000287263
89	ENSG00000254685
90	ENSG00000112972
91	ENSG00000177453
92	ENSG00000151881
93	ENSG00000172239
94	ENSG00000112992
95	ENSG00000116791
96	ENSG00000272335
97	ENSG00000251141
98	ENSG00000164588
99	ENSG00000213949
100	ENSG00000272123
101	ENSG00000164172
102	ENSG00000178996
103	ENSG00000067248
104	ENSG00000039123
105	ENSG00000067113
106	ENSG00000177058
107	ENSG00000134352
108	ENSG00000162623
109	ENSG00000155545
110	ENSG00000062194
111	ENSG00000145632
112	ENSG00000117054
113	ENSG00000113448
114	ENSG00000137955
115	ENSG00000164181
116	ENSG00000188725
117	ENSG00000068796
118	ENSG00000086189
119	ENSG00000186105
120	ENSG00000086200
121	ENSG00000164197
122	ENSG00000153015
123	ENSG00000153006
124	ENSG00000113593
125	ENSG00000113595
126	ENSG00000113597
127	ENSG00000123213
128	ENSG00000112851
129	ENSG00000153914
130	ENSG00000145675
131	ENSG00000145740
132	ENSG00000134058
133	ENSG00000273841
134	ENSG00000152942
135	ENSG00000197822
136	ENSG00000172062
137	ENSG00000145734
138	ENSG00000131844
139	ENSG00000131711
140	ENSG00000113048
141	ENSG00000261269
142	ENSG00000083312
143	ENSG00000157107
144	ENSG00000145741
145	ENSG00000164331
146	ENSG00000049860
147	ENSG00000164347
148	ENSG00000164346
149	ENSG00000113161
150	ENSG00000272040
151	ENSG00000113163
152	ENSG00000164252
153	ENSG00000152359
154	ENSG00000164253
155	ENSG00000171530
156	ENSG00000132842
157	ENSG00000085365
158	ENSG00000145685
159	ENSG00000113273
160	ENSG00000132840
161	ENSG00000007923
162	ENSG00000164329
163	ENSG00000113296
164	ENSG00000039319
165	ENSG00000113319
166	ENSG00000131732
167	ENSG00000145687
168	ENSG00000186468
169	ENSG00000174695
170	ENSG00000164176
171	ENSG00000145715
172	ENSG00000134480
173	ENSG00000270171
174	ENSG00000287862
175	ENSG00000247828
176	ENSG00000245526
177	ENSG00000081189
178	ENSG00000176055
179	ENSG00000113356
180	ENSG00000176018
181	ENSG00000113369
182	ENSG00000237187
183	ENSG00000113391
184	ENSG00000185261
185	ENSG00000175449
186	ENSG00000142892
187	ENSG00000164292
188	ENSG00000173221
189	ENSG00000154027
190	ENSG00000237491
191	ENSG00000049245
192	ENSG00000036549
193	ENSG00000118985
194	ENSG00000153113
195	ENSG00000145721
196	ENSG00000174136
197	ENSG00000058729
198	ENSG00000248489
199	ENSG00000153922
200	ENSG00000174132
201	ENSG00000145730
202	ENSG00000077254
203	ENSG00000145723
204	ENSG00000145725
205	ENSG00000181751
206	ENSG00000112874
207	ENSG00000272523
208	ENSG00000162616
209	ENSG00000198961
210	ENSG00000049246
211	ENSG00000122420
212	ENSG00000112893
213	ENSG00000164209
214	ENSG00000134987
215	ENSG00000162613
216	ENSG00000164211
217	ENSG00000137959
218	ENSG00000137965
219	ENSG00000152495
220	ENSG00000134986
221	ENSG00000224032
222	ENSG00000134982
223	ENSG00000172795
224	ENSG00000047188
225	ENSG00000164219
226	ENSG00000164221
227	ENSG00000145780
228	ENSG00000080709
229	ENSG00000134970
230	ENSG00000251201
231	ENSG00000243414
232	ENSG00000129596
233	ENSG00000145782
234	ENSG00000177879
235	ENSG00000272265
236	ENSG00000271918
237	ENSG00000145781
238	ENSG00000172869
239	ENSG00000133835
240	ENSG00000064692
241	ENSG00000260686
242	ENSG00000168938
243	ENSG00000168944
244	ENSG00000151292
245	ENSG00000155324
246	ENSG00000113368
247	ENSG00000164904
248	ENSG00000249577
249	ENSG00000271576
250	ENSG00000164244
251	ENSG00000245937
252	ENSG00000066583
253	ENSG00000169567
254	ENSG00000158985
255	ENSG00000158987
256	ENSG00000217128
257	ENSG00000164398
258	ENSG00000072682
259	ENSG00000197208
260	ENSG00000197375
261	ENSG00000125347
262	ENSG00000113522
263	ENSG00000197536
264	ENSG00000164402
265	ENSG00000198944
266	ENSG00000164404
267	ENSG00000164405
268	ENSG00000164406
269	ENSG00000142875
270	ENSG00000155329
271	ENSG00000170606
272	ENSG00000113583
273	ENSG00000213585
274	ENSG00000113558
275	ENSG00000113575
276	ENSG00000119048
277	ENSG00000113615
278	ENSG00000145833
279	ENSG00000181904
280	ENSG00000113621
281	ENSG00000152700
282	ENSG00000113648
283	ENSG00000113658
284	ENSG00000250284
285	ENSG00000152377
286	ENSG00000177733
287	ENSG00000146021
288	ENSG00000120729
289	ENSG00000031003
290	ENSG00000112983
291	ENSG00000120709
292	ENSG00000120733
293	ENSG00000132563
294	ENSG00000094880
295	ENSG00000120705
296	ENSG00000113013
297	ENSG00000146006
298	ENSG00000044115
299	ENSG00000015479
300	ENSG00000280987
301	ENSG00000120727
302	ENSG00000286403
303	ENSG00000131508
304	ENSG00000171604
305	ENSG00000184584
306	ENSG00000146005
307	ENSG00000117151
308	ENSG00000182700
309	ENSG00000185129
310	ENSG00000120306
311	ENSG00000113068
312	ENSG00000113070
313	ENSG00000213523
314	ENSG00000113108
315	ENSG00000176087
316	ENSG00000131503
317	ENSG00000113141
318	ENSG00000170458
319	ENSG00000120314
320	ENSG00000112855
321	ENSG00000146007
322	ENSG00000170445
323	ENSG00000117133
324	ENSG00000250120
325	ENSG00000239389
326	ENSG00000243232
327	ENSG00000112852
328	ENSG00000113205
329	ENSG00000081818
330	ENSG00000116288
331	ENSG00000117155
332	ENSG00000113212
333	ENSG00000120322
334	ENSG00000272674
335	ENSG00000177839
336	ENSG00000120328
337	ENSG00000120327
338	ENSG00000113248
339	ENSG00000272070
340	ENSG00000204956
341	ENSG00000178913
342	ENSG00000131504
343	ENSG00000081853
344	ENSG00000253537
345	ENSG00000253953
346	ENSG00000261934
347	ENSG00000254122
348	ENSG00000253873
349	ENSG00000248449
350	ENSG00000253159
351	ENSG00000254245
352	ENSG00000240184
353	ENSG00000242419
354	ENSG00000240764
355	ENSG00000171720
356	ENSG00000162642
357	ENSG00000164620
358	ENSG00000113555
359	ENSG00000081791
360	ENSG00000271871
361	ENSG00000013561
362	ENSG00000187678
363	ENSG00000131507
364	ENSG00000113578
365	ENSG00000142867
366	ENSG00000145819
367	ENSG00000153904
368	ENSG00000145817
369	ENSG00000091009
370	ENSG00000113649
371	ENSG00000133706
372	ENSG00000156475
373	ENSG00000169302
374	ENSG00000272239
375	ENSG00000113657
376	ENSG00000176049
377	ENSG00000142871
378	ENSG00000145868
379	ENSG00000117174
380	ENSG00000173210
381	ENSG00000157510
382	ENSG00000164284
383	ENSG00000145882
384	ENSG00000183111
385	ENSG00000155846
386	ENSG00000113712
387	ENSG00000230551
388	ENSG00000164296
389	ENSG00000113716
390	ENSG00000113721
391	ENSG00000011083
392	ENSG00000019582
393	ENSG00000070614
394	ENSG00000086589
395	ENSG00000132912
396	ENSG00000256235
397	ENSG00000197083
398	ENSG00000145908
399	ENSG00000145901
400	ENSG00000197043
401	ENSG00000211445
402	ENSG00000198624
403	ENSG00000123643
404	ENSG00000271795
405	ENSG00000086570
406	ENSG00000113140
407	ENSG00000177556
408	ENSG00000145907
409	ENSG00000122417
410	ENSG00000097033
411	ENSG00000155511
412	ENSG00000055147
413	ENSG00000116285
414	ENSG00000037749
415	ENSG00000153936
416	ENSG00000170271
417	ENSG00000155508
418	ENSG00000082515
419	ENSG00000267272
420	ENSG00000183291
421	ENSG00000172568
422	ENSG00000055163
423	ENSG00000113282
424	ENSG00000145860
425	ENSG00000164332
426	ENSG00000113312
427	ENSG00000170234
428	ENSG00000221886
429	ENSG00000164609
430	ENSG00000118322
431	ENSG00000145864
432	ENSG00000145863
433	ENSG00000022355
434	ENSG00000113327
435	ENSG00000065243
436	ENSG00000113328
437	ENSG00000038274
438	ENSG00000213516
439	ENSG00000117226
440	ENSG00000117228
441	ENSG00000162645
442	ENSG00000113645
443	ENSG00000253861
444	ENSG00000113643
445	ENSG00000120137
446	ENSG00000040275
447	ENSG00000204764
448	ENSG00000181163
449	ENSG00000072803
450	ENSG00000072786
451	ENSG00000113719
452	ENSG00000037241
453	ENSG00000113732
454	ENSG00000120129
455	ENSG00000145919
456	ENSG00000231999
457	ENSG00000113742
458	ENSG00000170091
459	ENSG00000171488
460	ENSG00000164466
461	ENSG00000051596
462	ENSG00000145920
463	ENSG00000162664
464	ENSG00000171492
465	ENSG00000170085
466	ENSG00000122203
467	ENSG00000175416
468	ENSG00000113194
469	ENSG00000146083
470	ENSG00000074317
471	ENSG00000048140
472	ENSG00000113763
473	ENSG00000113761
474	ENSG00000087206
475	ENSG00000165671
476	ENSG00000169228
477	ENSG00000169230
478	ENSG00000169223
479	ENSG00000113758
480	ENSG00000183258
481	ENSG00000198055
482	ENSG00000184840
483	ENSG00000146067
484	ENSG00000027847
485	ENSG00000170089
486	ENSG00000145916
487	ENSG00000113240
488	ENSG00000197451
489	ENSG00000169131
490	ENSG00000178338
491	ENSG00000178187
492	ENSG00000177932
493	ENSG00000272431
494	ENSG00000176783
495	ENSG00000127022
496	ENSG00000161021
497	ENSG00000161011
498	ENSG00000245317
499	ENSG00000197226
500	ENSG00000161010
501	ENSG00000146090
502	ENSG00000050748
503	ENSG00000131459
504	ENSG00000131446
505	ENSG00000113300
506	ENSG00000278970
507	ENSG00000196670
508	ENSG00000165810
509	ENSG00000146054
510	ENSG00000146063
511	ENSG00000204628
512	ENSG00000233937
513	ENSG00000183718
514	ENSG00000112679
515	ENSG00000112685
516	ENSG00000287076
517	ENSG00000272463
518	ENSG00000143032
519	ENSG00000112699
520	ENSG00000233593
521	ENSG00000124535
522	ENSG00000021355
523	ENSG00000244041
524	ENSG00000137275
525	ENSG00000124570
526	ENSG00000137267
527	ENSG00000288840
528	ENSG00000137285
529	ENSG00000228793
530	ENSG00000145945
531	ENSG00000112739
532	ENSG00000198721
533	ENSG00000219607
534	ENSG00000214113
535	ENSG00000124785
536	ENSG00000097046
537	ENSG00000168566
538	ENSG00000124783
539	ENSG00000162426
540	ENSG00000189195
541	ENSG00000188428
542	ENSG00000111846
543	ENSG00000124786
544	ENSG00000111843
545	ENSG00000122484
546	ENSG00000224531
547	ENSG00000174842
548	ENSG00000197977
549	ENSG00000111859
550	ENSG00000078401
551	ENSG00000145979
552	ENSG00000010017
553	ENSG00000225921
554	ENSG00000180537
555	ENSG00000112149
556	ENSG00000122406
557	ENSG00000137198
558	ENSG00000154511
559	ENSG00000229931
560	ENSG00000272341
561	ENSG00000112186
562	ENSG00000124789
563	ENSG00000137414
564	ENSG00000137177
565	ENSG00000187566
566	ENSG00000165097
567	ENSG00000124795
568	ENSG00000137393
569	ENSG00000143033
570	ENSG00000117500
571	ENSG00000172201
572	ENSG00000124766
573	ENSG00000124532
574	ENSG00000112294
575	ENSG00000137261
576	ENSG00000111802
577	ENSG00000112304
578	ENSG00000112308
579	ENSG00000168405
580	ENSG00000079689
581	ENSG00000272462
582	ENSG00000180573
583	ENSG00000168298
584	ENSG00000117505
585	ENSG00000111801
586	ENSG00000112763
587	ENSG00000228223
588	ENSG00000182952
589	ENSG00000146109
590	ENSG00000181315
591	ENSG00000197903
592	ENSG00000204789
593	ENSG00000124613
594	ENSG00000096654
595	ENSG00000275221
596	ENSG00000198315
597	ENSG00000137185
598	ENSG00000197062
599	ENSG00000235109
600	ENSG00000137942
601	ENSG00000204713
602	ENSG00000204681
603	ENSG00000137936
604	ENSG00000239257
605	ENSG00000176998
606	ENSG00000206503
607	ENSG00000204623
608	ENSG00000237669
609	ENSG00000234127
610	ENSG00000204619
611	ENSG00000243753
612	ENSG00000204599
613	ENSG00000280128
614	ENSG00000231074
615	ENSG00000204592
616	ENSG00000204590
617	ENSG00000204576
618	ENSG00000204574
619	ENSG00000204568
620	ENSG00000204569
621	ENSG00000204560
622	ENSG00000146112
623	ENSG00000204564
624	ENSG00000196230
625	ENSG00000204580
626	ENSG00000137312
627	ENSG00000288473
628	ENSG00000137411
629	ENSG00000204536
630	ENSG00000137310
631	ENSG00000272501
632	ENSG00000204525
633	ENSG00000234745
634	ENSG00000204520
635	ENSG00000206337
636	ENSG00000067334
637	ENSG00000198563
638	ENSG00000213760
639	ENSG00000204463
640	ENSG00000204439
641	ENSG00000204435
642	ENSG00000263020
643	ENSG00000204427
644	ENSG00000213722
645	ENSG00000204389
646	ENSG00000204394
647	ENSG00000204386
648	ENSG00000204388
649	ENSG00000204371
650	ENSG00000243649
651	ENSG00000023909
652	ENSG00000204356
653	ENSG00000204351
654	ENSG00000244731
655	ENSG00000224389
656	ENSG00000204338
657	ENSG00000168477
658	ENSG00000213676
659	ENSG00000204314
660	ENSG00000221988
661	ENSG00000204310
662	ENSG00000204305
663	ENSG00000213654
664	ENSG00000204301
665	ENSG00000204267
666	ENSG00000204264
667	ENSG00000168394
668	ENSG00000289047
669	ENSG00000242574
670	ENSG00000204256
671	ENSG00000223865
672	ENSG00000137962
673	ENSG00000231389
674	ENSG00000112473
675	ENSG00000204231
676	ENSG00000204227
677	ENSG00000223501
678	ENSG00000227057
679	ENSG00000237441
680	ENSG00000204209
681	ENSG00000112514
682	ENSG00000213588
683	ENSG00000137288
684	ENSG00000161904
685	ENSG00000124493
686	ENSG00000186577
687	ENSG00000137309
688	ENSG00000117525
689	ENSG00000124507
690	ENSG00000196821
691	ENSG00000064995
692	ENSG00000065060
693	ENSG00000064999
694	ENSG00000272374
695	ENSG00000065029
696	ENSG00000112033
697	ENSG00000096060
698	ENSG00000198755
699	ENSG00000096063
700	ENSG00000112062
701	ENSG00000112081
702	ENSG00000112079
703	ENSG00000124772
704	ENSG00000124762
705	ENSG00000198663
706	ENSG00000137168
707	ENSG00000137193
708	ENSG00000065491
709	ENSG00000112130
710	ENSG00000137409
711	ENSG00000137200
712	ENSG00000156639
713	ENSG00000124767
714	ENSG00000112167
715	ENSG00000117528
716	ENSG00000146122
717	ENSG00000124615
718	ENSG00000226070
719	ENSG00000156564
720	ENSG00000112561
721	ENSG00000137218
722	ENSG00000124641
723	ENSG00000112576
724	ENSG00000124659
725	ENSG00000124587
726	ENSG00000124733
727	ENSG00000146223
728	ENSG00000112640
729	ENSG00000124702
730	ENSG00000137171
731	ENSG00000112655
732	ENSG00000112658
733	ENSG00000112659
734	ENSG00000137221
735	ENSG00000137207
736	ENSG00000171453
737	ENSG00000117519
738	ENSG00000172432
739	ENSG00000124688
740	ENSG00000096080
741	ENSG00000137216
742	ENSG00000112759
743	ENSG00000096384
744	ENSG00000157593
745	ENSG00000124608
746	ENSG00000152078
747	ENSG00000112796
748	ENSG00000001561
749	ENSG00000172348
750	ENSG00000069122
751	ENSG00000153291
752	ENSG00000146072
753	ENSG00000198087
754	ENSG00000146085
755	ENSG00000112118
756	ENSG00000170915
757	ENSG00000096093
758	ENSG00000216775
759	ENSG00000096092
760	ENSG00000287919
761	ENSG00000170899
762	ENSG00000012660
763	ENSG00000001084
764	ENSG00000137269
765	ENSG00000226026
766	ENSG00000151914
767	ENSG00000151917
768	ENSG00000168116
769	ENSG00000112200
770	ENSG00000112210
771	ENSG00000271761
772	ENSG00000272316
773	ENSG00000112245
774	ENSG00000118482
775	ENSG00000285838
776	ENSG00000117569
777	ENSG00000230910
778	ENSG00000135298
779	ENSG00000289611
780	ENSG00000168216
781	ENSG00000112280
782	ENSG00000082269
783	ENSG00000112305
784	ENSG00000233237
785	ENSG00000234882
786	ENSG00000156508
787	ENSG00000135297
788	ENSG00000099260
789	ENSG00000112697
790	ENSG00000112701
791	ENSG00000196586
792	ENSG00000162688
793	ENSG00000146243
794	ENSG00000286340
795	ENSG00000118418
796	ENSG00000198478
797	ENSG00000287811
798	ENSG00000279659
799	ENSG00000118402
800	ENSG00000083123
801	ENSG00000233967
802	ENSG00000260645
803	ENSG00000288826
804	ENSG00000156875
805	ENSG00000283761
806	ENSG00000005700
807	ENSG00000083097
808	ENSG00000013375
809	ENSG00000065609
810	ENSG00000065615
