No	SampleID
1	cg04758330
2	cg08787401
3	cg06188746
4	cg11025193
5	cg15852141
6	cg14950134
7	cg09633152
8	cg09457766
9	cg23467947
10	cg11711880
11	cg05777536
12	cg00570575
13	cg08155444
14	cg02735557
15	cg24135615
16	cg10243953
17	cg15091407
18	cg06952173
19	cg20177502
20	cg15937691
21	cg14607407
22	cg16662451
23	cg09838302
24	cg08321111
25	cg25972409
26	cg07796897
27	cg16176825
28	cg22872033
29	cg18811155
30	cg22851849
31	cg18630751
32	cg04365777
33	cg00257893
34	cg14560571
35	cg17574930
36	cg26039685
37	cg21926033
38	cg03720611
39	cg20566776
40	cg04451864
41	cg19632442
42	cg05255095
43	cg08405733
44	cg09719580
45	cg24039732
46	cg02274788
47	cg08750440
48	cg07325168
49	cg09418771
50	cg01855674
51	cg07664029
52	cg13590011
53	cg16167452
54	cg21117978
55	cg18820911
56	cg21784254
57	cg15704408
58	cg00482804
59	cg13453162
60	cg27641380
61	cg00702043
62	cg10372121
63	cg09876812
64	cg14714537
65	cg14039733
66	cg19038007
67	cg21471225
68	cg24548564
69	cg05790270
70	cg16321501
71	cg07725579
72	cg19589415
73	cg25123302
74	cg12645202
75	cg03027036
76	cg05568629
77	cg15612628
78	cg07497819
79	cg11601007
80	cg02137395
81	cg15910502
82	cg18972304
83	cg08436419
84	cg15140582
85	cg11311289
86	cg16584688
87	cg00644330
88	cg09884613
89	cg01542664
90	cg21147975
91	cg20631720
92	cg16226642
93	cg12879978
94	cg03285229
95	cg12832929
96	cg07671946
97	cg22504849
98	cg23378941
99	cg03000596
100	cg11315312
101	cg01795789
102	cg13148429
103	cg10823320
104	cg07795614
105	cg20006715
106	cg09173348
107	cg00085122
108	cg18852567
109	cg05808286
110	cg13577826
111	cg16523590
112	cg15326535
113	cg10190665
114	cg24127639
115	cg27608402
116	cg09131317
117	cg09881503
118	cg00350533
119	cg06170302
120	cg19537243
121	cg13761321
122	cg19617080
123	cg12899116
124	cg01543570
125	cg18279004
126	cg14442841
127	cg02312550
128	cg01947066
129	cg13333913
130	cg12279294
131	cg23373626
132	cg14184379
133	cg22842855
134	cg03400139
135	cg24282960
136	cg18315298
137	cg26841102
138	cg05265258
139	cg10623171
140	cg25691526
141	cg20911045
142	cg23210478
143	cg03724062
144	cg00698413
145	cg07346905
146	cg07438560
147	cg23575320
148	cg19380085
149	cg00735586
150	cg05189127
151	cg21665084
152	cg24221413
153	cg19429879
154	cg13710662
155	cg24856456
156	cg19636308
157	cg11544522
