ID	chr	exon	strand
ENSG00000076864.21_ENST00000611549.4	chr1	21596222:21597264,21597686:21597728,21597961:21598095,21598400:21598502,21599494:21599617,21601684:21601797,21602804:21603912,21606066:21606197,21608213:21608350,21608850:21608936,21609575:21609646,21610120:21610275,21611452:21611581,21611716:21611816,21612026:21612109,21613176:21613229,21613628:21613706,21613986:21614089,21617306:21617491,21617934:21617972,21619025:21619072,21620015:21620050,21626304:21626397,21649761:21649796,21669254:21669300	-
ENSG00000076864.21_ENST00000495204.5	chr1	21597008:21597264,21597686:21597728,21597961:21598064,21598400:21598502,21599494:21599617,21601684:21601797,21602804:21602913,21606066:21606197,21608213:21608350,21608850:21608936,21609575:21609646,21610120:21610275,21611452:21611581,21611716:21611816,21612026:21612109,21613176:21613229,21613628:21613706,21613986:21614089,21617306:21617491,21617934:21617972,21619025:21619072,21620015:21620050,21626304:21626397,21649761:21649796,21651779:21651836	-
ENSG00000070831.18_ENST00000667384.2	chr1	22052651:22052742,22078429:22078583,22081722:22081794,22086439:22086548,22086669:22092273	+
ENSG00000070831.18_ENST00000656825.1	chr1	22052709:22052742,22078429:22078583,22081722:22081794,22086439:22086548,22086669:22086866,22091428:22101360	+
ENSG00000004455.18_ENST00000373449.7	chr1	33007986:33010833,33013207:33013402,33014522:33014594,33021367:33021461,33021593:33021703,33024442:33024567,33036736:33036883	-
ENSG00000004455.18_ENST00000672715.1	chr1	33007986:33013402,33014522:33014594,33021367:33021461,33021593:33021703,33024442:33024567,33036736:33036883	-
ENSG00000004455.18_TALONT000255093	chr1	33007986:33013402,33014522:33014594,33021367:33021461,33021593:33021703,33024442:33024567,33031544:33031661,33036736:33036868	-
ENSG00000132768.14_TALONT000256625	chr1	43970000:43972070,43972158:43972334,43972415:43973369	+
ENSG00000132768.14_ENST00000255108.8	chr1	43970010:43970322,43970596:43970708,43970966:43971189,43971387:43972070,43972158:43972334,43972415:43973369	+
ENSG00000132485.14_ENST00000370920.8	chr1	71063291:71065137,71066776:71066934,71069276:71069362,71070827:71070996,71072121:71072255,71072472:71072548,71076795:71076877,71078457:71078565,71078656:71078708,71080940:71081035	-
ENSG00000132485.14_ENST00000254821.10	chr1	71063337:71065137,71065678:71065752,71066776:71066934,71069276:71069362,71070827:71070996,71072121:71072255,71072472:71072548,71076795:71076877,71078457:71078565,71078656:71078708,71080940:71081011	-
ENSG00000097033.14_ENST00000370558.8	chr1	86704576:86704971,86715724:86715865,86719507:86719635,86722540:86722673,86724313:86724405,86734602:86734691,86735079:86735179,86742208:86742436,86743128:86748184	+
ENSG00000097033.14_ENST00000482504.1	chr1	86704895:86704971,86715724:86715865,86719507:86719635,86722540:86722673,86724313:86724405,86728403:86728441,86730088:86730111,86734602:86734691,86735079:86735179,86742208:86742436,86743128:86743268	+
ENSG00000143549.21_ENST00000368533.8	chr1	154155308:154157721,154170400:154170469,154170649:154170711,154172029:154172104,154172908:154172978,154173084:154173201,154176115:154176248,154182988:154183189	-
ENSG00000143549.21_ENST00000323144.12	chr1	154158612:154159048,154170400:154170469,154170649:154170711,154171413:154171488,154172908:154172978,154173084:154173201,154176115:154176248,154182988:154183203	-
ENSG00000143344.16_ENST00000304685.8	chr1	183636085:183636501,183742126:183742289,183806375:183806485,183847566:183847774,183865996:183866073,183880616:183880800,183883786:183883910,183884723:183884938,183888474:183888577,183892077:183892161,183897808:183897897,183900150:183900236,183902568:183902600,183904850:183904971,183907012:183907101,183912082:183912268,183916447:183916701,183922222:183922336,183926105:183928531	+
ENSG00000143344.16_TALONT000266910	chr1	183636085:183636501,183742126:183742289,183847566:183847774,183865996:183866073,183880616:183880800,183883786:183883910,183884723:183884938,183888474:183888577,183892077:183892161,183897808:183897897,183900150:183900236,183902568:183902600,183904850:183904971,183907012:183907101,183912082:183912268,183916447:183916701,183922222:183922336,183926105:183928531	+
ENSG00000117266.16_ENST00000429964.7	chr1	205504669:205504796,205523147:205523297,205523483:205523625,205524232:205524357,205525139:205525195,205526065:205526179,205526367:205526461,205526775:205526837,205527794:205527917,205528048:205528168,205528999:205529096,205529324:205529429,205529521:205529563,205530259:205530349,205530628:205530705,205531344:205532790	+
ENSG00000117266.16_TALONT000268327	chr1	205529194:205529429,205529521:205530705,205531344:205532785	+
ENSG00000154305.18_ENST00000344922.10	chr1	222618097:222618243,222621159:222621292,222624768:222624854,222627575:222630389,222632165:222632326,222633104:222633249,222645554:222645685,222648829:222648850,222650292:222650380,222650634:222650711,222650793:222650903,222651977:222652048,222652228:222652332,222653008:222653130,222653228:222653339,222654243:222654298,222654389:222654479,222654655:222654793,222658722:222658823,222659453:222659513,222659622:222659657,222659734:222659801,222659906:222660006,222660177:222660314,222662056:222662124,222662253:222662332,222663998:222664148,222665309:222668007	+
ENSG00000154305.18_ENST00000340535.11	chr1	222644303:222644586,222645554:222645685,222648829:222648850,222650292:222650380,222650634:222650711,222650793:222650903,222651977:222652048,222652228:222652332,222653008:222653130,222653228:222653339,222654243:222654298,222654389:222654479,222654655:222654793,222658722:222658823,222659453:222659513,222659622:222659657,222659734:222659801,222659906:222660006,222660177:222660314,222662056:222662124,222662253:222662332,222663998:222664148,222665309:222665823	+
ENSG00000115216.14_TALONT000272586	chr2	27428631:27428731,27433249:27433483,27433673:27433795,27433989:27434090,27434471:27434560,27434722:27434762,27435133:27435227,27436753:27436836,27437047:27437105,27437262:27437360,27439766:27439898,27440403:27440508,27440652:27440702,27440805:27440940,27441127:27441180,27441267:27441330,27441567:27441622,27441708:27442255	+
ENSG00000115216.14_TALONT000272588	chr2	27428631:27428731,27433249:27433483,27433673:27433795,27433989:27434090,27434471:27434560,27434722:27436836,27437047:27437105,27437262:27437360,27439766:27439898,27440403:27440508,27440652:27440702,27440805:27440940,27441127:27441180,27441267:27441330,27441567:27441622,27441708:27442255	+
ENSG00000180398.13_ENST00000319466.9	chr2	46901874:46905594,46907810:46907969,46909023:46909177,46915723:46915806	-
ENSG00000180398.13_ENST00000409913.5	chr2	46901874:46905594,46907810:46907969,46915723:46915816	-
ENSG00000087338.5_TALONT000275567	chr2	69829660:69830152,69837547:69837670,69839457:69839553,69840942:69841039,69843088:69843261,69844131:69844196,69847543:69847627,69849652:69849742,69854823:69854960,69861278:69861347,69864900:69864975,69869719:69869864,69871745:69871832,69878909:69880252	+
ENSG00000087338.5_ENST00000495047.1	chr2	69869557:69869864,69871745:69871832,69878909:69878990	+
ENSG00000144029.14_ENST00000272418.7	chr2	95085369:95087581,95090386:95090522,95100474:95100536,95100837:95100894,95101677:95101723,95104640:95104730,95106423:95106457,95108175:95108408,95109916:95110041,95115066:95115203,95117865:95117945,95121734:95121808	-
ENSG00000144029.14_ENST00000482821.5	chr2	95087208:95087581,95090386:95093691	-
