#count_fl: Number of associated FL reads
#norm_fl : count_fl / total number of FL reads supporting a mapped isoform
#Total Number of FL reads supporting a mapped isoform: 3458_test
pbid	count_fl	norm_fl
PB.1.2	10	2.89E+02
PB.10.1	40	1.16E+03
PB.100.2	15	4.34E+02
PB.10008.4	2	5.78E+01
PB.10008.5	8	2.31E+02
PB.1001.1	2	5.78E+01
PB.1002.18	7	2.02E+02
PB.1002.4	3	8.68E+01
PB.1002.5	3	8.68E+01
PB.10032.1	2	5.78E+01
PB.10034.1	6	1.74E+02
PB.10035.1	2	5.78E+01
PB.10035.4	7	2.02E+02
PB.10035.7	6	1.74E+02
PB.10043.3	6	1.74E+02
PB.10043.4	8	2.31E+02
PB.10044.1	3	8.68E+01
PB.10044.2	8	2.31E+02
PB.10045.1	50	1.45E+03
PB.10046.1	4	1.16E+02
PB.10047.1	2	5.78E+01
PB.10047.3	13	3.76E+02
PB.10048.10	36	1.04E+03
PB.10048.11	5	1.45E+02
PB.10048.3	10	2.89E+02
PB.10048.4	40	1.16E+03
PB.10048.5	15	4.34E+02
PB.10048.7	2	5.78E+01
PB.10049.1	8	2.31E+02
PB.10049.2	2	5.78E+01
PB.10050.1	7	2.02E+02
PB.10050.2	3	8.68E+01
PB.10050.3	3	8.68E+01
PB.10052.1	2	5.78E+01
PB.10052.2	6	1.74E+02
PB.10052.3	2	5.78E+01
PB.10052.5	7	2.02E+02
PB.10052.8	6	1.74E+02
PB.10052.9	6	1.74E+02
PB.10053.1	8	2.31E+02
PB.10053.10	3	8.68E+01
PB.10053.13	8	2.31E+02
PB.10053.14	50	1.45E+03
PB.10053.15	4	1.16E+02
PB.10053.18	2	5.78E+01
PB.10053.20	13	3.76E+02
PB.10053.21	36	1.04E+03
PB.10053.22	5	1.45E+02
PB.10053.24	2	5.78E+01
PB.10053.25	2	5.78E+01
PB.10053.26	6	1.74E+02
PB.10053.3	11	3.18E+02
PB.10053.5	8	2.31E+02
PB.10053.6	3	8.68E+01
PB.10053.7	4	1.16E+02
PB.10053.8	80	2.31E+03
PB.10053.9	10	2.89E+02
PB.10058.14	40	1.16E+03
PB.10058.15	15	4.34E+02
PB.10058.19	2	5.78E+01
PB.10058.2	8	2.31E+02
PB.10058.6	2	5.78E+01
PB.10059.1	7	2.02E+02
PB.10059.4	3	8.68E+01
PB.10060.2	3	8.68E+01
PB.10063.1	2	5.78E+01
PB.10063.10	6	1.74E+02
PB.10063.12	2	5.78E+01
